2025-03-03 20:34:01.7318 | Info | HelloGreetingApplication.Program | Application Starting... 
2025-03-03 20:34:02.8042 | Info | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7090 
2025-03-03 20:34:02.8235 | Info | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5085 
2025-03-03 20:34:02.8835 | Info | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-03 20:34:02.8835 | Info | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-03 20:34:02.8835 | Info | Microsoft.Hosting.Lifetime | Content root path: C:\Users\Vatsal Jain\source\repos\HelloGreetingApplication\HelloGreetingApplication\ 
2025-03-03 20:34:03.2269 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7090/swagger/index.html - - 
2025-03-03 20:34:03.6171 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7090/_vs/browserLink - - 
2025-03-03 20:34:03.6171 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7090/_framework/aspnetcore-browser-refresh.js - - 
2025-03-03 20:34:03.6171 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7090/swagger/index.js - - 
2025-03-03 20:34:03.6271 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7090/swagger/index.js - - - 200 - application/javascript;charset=utf-8 2.8723ms 
2025-03-03 20:34:03.6171 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7090/swagger/index.html - - - 200 - text/html;charset=utf-8 394.1777ms 
2025-03-03 20:34:03.6567 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7090/_framework/aspnetcore-browser-refresh.js - - - 200 12380 application/javascript;+charset=utf-8 32.3502ms 
